no,indikator,pernyataan,praktisi_1,praktisi_2
1,Kesesuaian Isi,Kesesuaian materi dengan capaian pembelajaran,4,4
2,Kesesuaian Isi,Materi mudah dipahami mahasiswa,4,3
3,Kesesuaian Isi,Materi disajikan secara tuntas dan terfokus,4,4
4,Kesesuaian Isi,Materi mendukung pengembangan keterampilan berbicara,4,4
5,Tampilan dan Penggunaan,Tampilan media menarik dan profesional,4,3
6,Tampilan dan Penggunaan,Ketepatan pemilihan huruf dan warna,4,4
7,Tampilan dan Penggunaan,Gambar dan ilustrasi sesuai konteks,3,4
8,Implementasi,Media mampu memfasilitasi latihan berbicara,4,3
9,Implementasi,Media mendukung penerapan teknik Feynman,4,4
10,Implementasi,Media efektif dan efisien dalam penggunaannya,3,4
11,Implementasi,Media mendukung pengembangan kemampuan metakognitif,4,3
